date,City,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,fire_count_all_india,temperature_celsius,wind_kph,humidity,z_score_pm25,is_anomaly_pm25,iforest_score,iforest_label
2015-01-01,Delhi,153.3,241.7,182.9,33.0,81.3,38.5,1.87,64.5,83.6,18.93,20.81,8.32,204.5,Severe,0.0,,,,-0.702151630992957,False,-0.1303078918375352,False
2015-01-02,Delhi,344.2,173.2,179.8,128.4,156.1,15.6,6.28,7.5,9.4,0.55,15.6,2.45,238.5,Satisfactory,0.0,,,,0.643559844019966,False,-0.0896392202066875,False
2015-01-03,Delhi,473.9,20.1,12.7,102.7,244.7,42.5,0.04,29.8,42.0,1.87,15.11,2.41,77.6,Satisfactory,0.0,,,,1.5578541253671432,False,-0.0517003540498831,False
2015-01-04,Delhi,32.4,414.8,198.1,25.6,218.2,13.2,2.47,50.4,80.2,7.7,12.46,0.57,85.4,Satisfactory,0.0,,,,-1.554412067499308,False,-0.0807658457984032,False
2015-01-05,Delhi,312.8,155.8,143.1,106.8,6.1,4.9,4.04,2.0,101.3,13.41,1.66,4.46,396.8,Poor,0.0,,,,0.4222118067470181,False,-0.1006461647936223,False
2015-01-06,Delhi,390.7,91.4,170.3,131.8,83.5,46.0,1.17,84.1,177.5,1.81,9.02,9.85,360.3,Moderate,0.0,,,,0.971352319599332,False,-0.0691932128933305,False
2015-01-07,Delhi,282.3,420.9,165.9,134.7,165.5,25.8,1.15,15.7,85.2,6.33,2.35,0.27,370.3,Moderate,0.0,,,,0.2072081399691545,False,-0.1034543822244943,False
2015-01-08,Delhi,315.2,354.9,161.9,45.6,152.4,37.1,6.81,84.6,28.8,17.48,20.33,4.75,230.7,Severe,0.0,,,,0.4391301280672433,False,-0.1133267681934019,False
2015-01-09,Delhi,226.8,103.0,72.6,100.6,32.9,23.4,9.29,56.6,118.8,8.73,28.38,6.88,53.6,Very Poor,0.0,,,,-0.1840280405610561,False,-0.0965538880299792,False
2015-01-10,Delhi,316.8,209.1,68.0,100.0,30.2,36.8,3.37,11.2,4.4,16.25,13.2,8.95,29.9,Very Poor,0.0,,,,0.4504090089473937,False,-0.0793434908227312,False
2015-01-11,Delhi,439.9,495.3,135.7,93.8,140.1,22.8,9.87,79.3,119.7,0.76,1.67,7.5,450.2,Poor,0.0,,,,1.318177906663951,False,-0.062482698010958,False
2015-01-12,Delhi,59.0,239.1,175.8,118.4,153.6,32.1,0.1,90.7,191.8,9.01,16.71,0.62,467.8,Severe,0.0,,,,-1.3669006728668107,False,-0.0271199679179546,False
2015-01-13,Delhi,15.9,408.7,182.4,33.6,112.6,31.7,9.49,12.3,25.7,3.1,18.05,9.06,265.3,Moderate,0.0,,,,-1.6707255265758572,False,-0.0521898638638874,False
2015-01-14,Delhi,33.1,568.6,154.4,145.7,96.1,16.7,2.65,13.5,89.5,1.33,27.5,8.33,361.0,Moderate,0.0,,,,-1.5494775571142425,False,-0.0466354287812114,False
2015-01-15,Delhi,67.7,597.1,17.2,34.8,180.1,38.8,5.05,13.3,48.5,16.55,7.68,5.84,481.7,Good,0.0,,,,-1.3055717580809938,False,-0.0396774926498587,False
2015-01-16,Delhi,283.3,260.2,137.0,12.5,158.5,1.9,1.88,91.3,167.1,14.94,7.51,0.64,240.1,Poor,0.0,,,,0.2142574405192484,False,-0.081575093548903,False
2015-01-17,Delhi,378.5,185.2,124.3,129.2,116.2,37.9,6.57,98.7,81.2,12.36,6.02,8.84,257.4,Good,0.0,,,,0.8853508528881865,False,-0.0892378718259848,False
2015-01-18,Delhi,486.5,401.3,97.5,1.0,67.5,21.3,2.88,63.0,171.9,19.79,26.21,3.38,439.8,Good,0.0,,,,1.6466753122983264,False,-0.0440568609329059,False
2015-01-19,Delhi,176.7,498.0,108.8,98.2,224.1,44.6,7.15,95.7,100.2,19.03,17.88,8.97,102.0,Satisfactory,0.0,,,,-0.5371979981207601,False,-0.0922864750563454,False
2015-01-20,Delhi,187.7,42.5,138.5,4.3,82.5,33.2,1.87,60.7,172.3,3.39,19.37,6.2,374.5,Very Poor,0.0,,,,-0.4596556920697273,False,-0.0562470740876346,False
2015-01-21,Delhi,3.5,506.4,143.5,146.1,53.1,2.6,3.92,81.4,53.8,19.79,13.28,8.16,192.3,Good,0.0,,,,-1.7581368533970214,False,-0.0576098552426228,False
