date,City,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,acq_date,fire_count_all_india,z_score_pm25,is_anomaly_pm25,iforest_score,iforest_label
2015-01-01,Delhi,153.3,241.7,182.9,33.0,81.3,38.5,1.87,64.5,83.6,18.93,20.81,8.32,204.5,Severe,,0.0,-0.702151630992957,False,-0.13030789183753527,False
2015-01-02,Delhi,344.2,173.2,179.8,128.4,156.1,15.6,6.28,7.5,9.4,0.55,15.6,2.45,238.5,Satisfactory,,0.0,0.643559844019966,False,-0.08963922020668752,False
2015-01-03,Delhi,473.9,20.1,12.7,102.7,244.7,42.5,0.04,29.8,42.0,1.87,15.11,2.41,77.6,Satisfactory,,0.0,1.5578541253671432,False,-0.05170035404988316,False
2015-01-04,Delhi,32.4,414.8,198.1,25.6,218.2,13.2,2.47,50.4,80.2,7.7,12.46,0.57,85.4,Satisfactory,,0.0,-1.554412067499308,False,-0.08076584579840324,False
2015-01-05,Delhi,312.8,155.8,143.1,106.8,6.1,4.9,4.04,2.0,101.3,13.41,1.66,4.46,396.8,Poor,,0.0,0.42221180674701814,False,-0.10064616479362237,False
2015-01-06,Delhi,390.7,91.4,170.3,131.8,83.5,46.0,1.17,84.1,177.5,1.81,9.02,9.85,360.3,Moderate,,0.0,0.9713523195993319,False,-0.06919321289333058,False
2015-01-07,Delhi,282.3,420.9,165.9,134.7,165.5,25.8,1.15,15.7,85.2,6.33,2.35,0.27,370.3,Moderate,,0.0,0.20720813996915458,False,-0.10345438222449438,False
2015-01-08,Delhi,315.2,354.9,161.9,45.6,152.4,37.1,6.81,84.6,28.8,17.48,20.33,4.75,230.7,Severe,,0.0,0.43913012806724333,False,-0.11332676819340193,False
2015-01-09,Delhi,226.8,103.0,72.6,100.6,32.9,23.4,9.29,56.6,118.8,8.73,28.38,6.88,53.6,Very Poor,,0.0,-0.18402804056105618,False,-0.09655388802997922,False
2015-01-10,Delhi,316.8,209.1,68.0,100.0,30.2,36.8,3.37,11.2,4.4,16.25,13.2,8.95,29.9,Very Poor,,0.0,0.4504090089473937,False,-0.07934349082273129,False
2015-01-11,Delhi,439.9,495.3,135.7,93.8,140.1,22.8,9.87,79.3,119.7,0.76,1.67,7.5,450.2,Poor,,0.0,1.318177906663951,False,-0.06248269801095807,False
2015-01-12,Delhi,59.0,239.1,175.8,118.4,153.6,32.1,0.1,90.7,191.8,9.01,16.71,0.62,467.8,Severe,,0.0,-1.3669006728668107,False,-0.02711996791795468,False
2015-01-13,Delhi,15.9,408.7,182.4,33.6,112.6,31.7,9.49,12.3,25.7,3.1,18.05,9.06,265.3,Moderate,,0.0,-1.6707255265758572,False,-0.052189863863887465,False
2015-01-14,Delhi,33.1,568.6,154.4,145.7,96.1,16.7,2.65,13.5,89.5,1.33,27.5,8.33,361.0,Moderate,,0.0,-1.5494775571142423,False,-0.04663542878121141,False
2015-01-15,Delhi,67.7,597.1,17.2,34.8,180.1,38.8,5.05,13.3,48.5,16.55,7.68,5.84,481.7,Good,,0.0,-1.3055717580809938,False,-0.03967749264985876,False
2015-01-16,Delhi,283.3,260.2,137.0,12.5,158.5,1.9,1.88,91.3,167.1,14.94,7.51,0.64,240.1,Poor,,0.0,0.21425744051924847,False,-0.08157509354890302,False
2015-01-17,Delhi,378.5,185.2,124.3,129.2,116.2,37.9,6.57,98.7,81.2,12.36,6.02,8.84,257.4,Good,,0.0,0.8853508528881865,False,-0.08923787182598486,False
2015-01-18,Delhi,486.5,401.3,97.5,1.0,67.5,21.3,2.88,63.0,171.9,19.79,26.21,3.38,439.8,Good,,0.0,1.6466753122983264,False,-0.04405686093290595,False
2015-01-19,Delhi,176.7,498.0,108.8,98.2,224.1,44.6,7.15,95.7,100.2,19.03,17.88,8.97,102.0,Satisfactory,,0.0,-0.5371979981207601,False,-0.09228647505634546,False
2015-01-20,Delhi,187.7,42.5,138.5,4.3,82.5,33.2,1.87,60.7,172.3,3.39,19.37,6.2,374.5,Very Poor,,0.0,-0.45965569206972734,False,-0.05624707408763463,False
2015-01-21,Delhi,3.5,506.4,143.5,146.1,53.1,2.6,3.92,81.4,53.8,19.79,13.28,8.16,192.3,Good,,0.0,-1.7581368533970214,False,-0.057609855242622854,False
2015-01-22,Delhi,403.8,423.9,106.4,41.3,106.2,23.0,8.67,68.2,135.0,7.14,8.6,6.4,126.7,Severe,,0.0,1.063698156805562,False,-0.09692352724944042,False
2015-01-23,Delhi,157.5,365.1,151.9,57.5,103.4,41.2,4.1,37.0,139.6,12.89,16.09,8.7,362.2,Good,,0.0,-0.6725445686825626,False,-0.14043217217695497,False
2015-01-24,Delhi,188.3,442.6,191.0,82.8,181.5,13.7,0.53,3.6,37.1,1.62,24.86,7.97,288.8,Good,,0.0,-0.45542611173967085,False,-0.07652524740952338,False
2015-01-25,Delhi,397.3,457.0,112.9,100.4,87.4,21.1,7.67,76.0,2.7,14.55,25.88,5.98,148.4,Severe,,0.0,1.0178777032299517,False,-0.07965667673425114,False
2015-01-26,Delhi,336.2,576.0,52.7,6.6,157.1,0.4,4.15,96.1,165.4,5.0,12.88,4.31,260.0,Satisfactory,,0.0,0.587165439619215,False,-0.050109094241983176,False
2015-01-27,Delhi,125.9,443.0,35.0,120.4,103.5,41.6,4.44,30.5,91.4,10.42,5.67,8.6,225.8,Moderate,,0.0,-0.8953024660655294,False,-0.11685232763403275,False
2015-01-28,Delhi,67.1,557.4,141.8,141.9,20.8,39.4,5.7,58.0,4.3,2.02,19.5,5.32,260.7,Very Poor,,0.0,-1.30980133841105,False,-0.0624181506383954,False
2015-01-29,Delhi,122.3,457.2,137.7,46.7,110.1,13.7,0.77,95.0,127.3,12.55,28.07,3.73,44.1,Severe,,0.0,-0.9206799480458674,False,-0.06469106730263297,False
2015-01-30,Delhi,485.5,128.0,37.5,103.7,79.1,10.8,1.14,6.5,133.6,10.55,27.99,7.05,337.9,Moderate,,0.0,1.6396260117482324,False,-0.06750052198388712,False
2015-01-31,Delhi,405.9,355.9,116.2,88.1,125.4,26.6,6.87,87.6,109.2,3.89,18.54,9.64,489.9,Good,,0.0,1.078501687960759,False,-0.10177346330292825,False
2015-02-01,Delhi,4.2,172.2,85.1,0.9,146.2,47.1,2.99,91.0,36.4,5.4,21.36,2.36,447.5,Moderate,,0.0,-1.7532023430119557,False,-0.0046172887472110125,False
2015-02-02,Delhi,334.2,286.2,108.7,139.7,54.2,32.4,2.99,14.9,76.3,10.1,7.9,5.83,266.8,Poor,,0.0,0.5730668385190272,False,-0.1098691325711606,False
2015-02-03,Delhi,292.7,5.6,160.1,110.9,97.6,34.1,4.79,49.8,55.2,18.51,2.22,2.72,40.7,Good,,0.0,0.28052086569013085,False,-0.09830245600819593,False
2015-02-04,Delhi,413.1,254.3,156.9,44.4,239.4,23.1,5.08,39.5,28.9,9.07,26.36,0.11,365.4,Severe,,0.0,1.129256651921435,False,-0.12334622250641686,False
