date,year,month,season,pm2.5,pm10,no2,so2,co,o3,temperature_celsius,humidity,wind_kph,fire_count_all_india,pm25_7day_avg,pm25_7day_std,pm25_deviation,aqi,aqi_bucket,lstm_score,lstm_label
2015-01-07,2015,1,winter,282.3,420.9,134.7,15.7,1.15,85.2,25.19476184523065,79.58532316539568,9.585448181022628,0.0,284.2285714285714,148.4856638903311,-1.928571428571388,370.3,Moderate,,
2015-01-08,2015,1,winter,315.2,354.9,45.6,84.6,6.81,28.8,25.19476184523065,79.58532316539568,9.585448181022628,0.0,307.35714285714283,136.8456412305833,7.842857142857156,230.7,Severe,,
2015-01-09,2015,1,winter,226.8,103.0,100.6,56.6,9.29,118.8,25.19476184523065,79.58532316539568,9.585448181022628,0.0,290.5857142857143,138.75846434928368,-63.78571428571428,53.6,Very Poor,,
2015-01-10,2015,1,winter,316.8,209.1,100.0,11.2,3.37,4.4,25.19476184523065,79.58532316539568,9.585448181022628,0.0,268.1428571428572,114.80473069728524,48.65714285714285,29.9,Very Poor,,
2015-01-11,2015,1,winter,439.9,495.3,93.8,79.3,9.87,119.7,25.19476184523065,79.58532316539568,9.585448181022628,0.0,326.35714285714283,69.86207500360636,113.54285714285714,450.2,Poor,,
2015-01-12,2015,1,winter,59.0,239.1,118.4,90.7,0.1,191.8,25.19476184523065,79.58532316539568,9.585448181022628,0.0,290.1,123.40869769455742,-231.1,467.8,Severe,,
2015-01-13,2015,1,winter,15.9,408.7,33.6,12.3,9.49,25.7,25.19476184523065,79.58532316539568,9.585448181022628,0.0,236.55714285714288,150.7623168781781,-220.65714285714287,265.3,Moderate,,
2015-01-14,2015,1,winter,33.1,568.6,145.7,13.5,2.65,89.5,25.19476184523065,79.58532316539568,9.585448181022628,0.0,200.95714285714288,166.73658723810294,-167.85714285714286,361.0,Moderate,,
2015-01-15,2015,1,winter,67.7,597.1,34.8,13.3,5.05,48.5,25.19476184523065,79.58532316539568,9.585448181022628,0.0,165.6,164.7026006675871,-97.9,481.7,Good,,
2015-01-16,2015,1,winter,283.3,260.2,12.5,91.3,1.88,167.1,25.19476184523065,79.58532316539568,9.585448181022628,0.0,173.67142857142858,169.51572900752416,109.62857142857143,240.1,Poor,,
2015-01-17,2015,1,winter,378.5,185.2,129.2,98.7,6.57,81.2,25.19476184523065,79.58532316539568,9.585448181022628,0.0,182.4857142857143,179.50794252225003,196.0142857142857,257.4,Good,,
2015-01-18,2015,1,winter,486.5,401.3,1.0,63.0,2.88,171.9,25.19476184523065,79.58532316539568,9.585448181022628,0.0,189.1428571428572,191.13300654381013,297.3571428571429,439.8,Good,,
2015-01-19,2015,1,winter,176.7,498.0,98.2,95.7,7.15,100.2,25.19476184523065,79.58532316539568,9.585448181022628,0.0,205.95714285714288,182.7701549044852,-29.257142857142867,102.0,Satisfactory,,
2015-01-20,2015,1,winter,187.7,42.5,4.3,60.7,1.87,172.3,25.19476184523065,79.58532316539568,9.585448181022628,0.0,230.5,163.51591156010883,-42.80000000000001,374.5,Very Poor,,
2015-01-21,2015,1,winter,3.5,506.4,146.1,81.4,3.92,53.8,25.19476184523065,79.58532316539568,9.585448181022628,0.0,226.27142857142857,169.73596863251774,-222.77142857142857,192.3,Good,,
2015-01-22,2015,1,winter,403.8,423.9,41.3,68.2,8.67,135.0,25.19476184523065,79.58532316539568,9.585448181022628,0.0,274.2857142857143,164.87150985511343,129.51428571428573,126.7,Severe,,
2015-01-23,2015,1,winter,157.5,365.1,57.5,37.0,4.1,139.6,25.19476184523065,79.58532316539568,9.585448181022628,0.0,256.31428571428575,170.48583937844057,-98.81428571428576,362.2,Good,,
2015-01-24,2015,1,winter,188.3,442.6,82.8,3.6,0.53,37.1,25.19476184523065,79.58532316539568,9.585448181022628,0.0,229.1428571428572,162.7478198230098,-40.84285714285713,288.8,Good,,
2015-01-25,2015,1,winter,397.3,457.0,100.4,76.0,7.67,2.7,25.19476184523065,79.58532316539568,9.585448181022628,0.0,216.4,141.32030993455965,180.9,148.4,Severe,,
2015-01-26,2015,1,winter,336.2,576.0,6.6,96.1,4.15,165.4,25.19476184523065,79.58532316539568,9.585448181022628,0.0,239.18571428571428,146.61185068712814,97.0142857142857,260.0,Satisfactory,,
